kepid,kepoi_name,koi_disposition,koi_score
2860866,K01103.01,CANDIDATE,1.0000
7626506,K00150.02,CONFIRMED,1.0000
10460629,K01168.01,CANDIDATE,
10319385,K01169.01,CANDIDATE,1.0000
10482160,K01170.01,CONFIRMED,0.9650
10485069,K01171.01,FALSE POSITIVE,
3233043,K00966.01,FALSE POSITIVE,0.0000
6579806,K00967.01,FALSE POSITIVE,0.0000
3560301,K00968.01,FALSE POSITIVE,0.0000
4044005,K00969.01,FALSE POSITIVE,0.0000
11502218,K00970.01,CANDIDATE,0.0000
11180361,K00971.01,CANDIDATE,1.0000
5802246,K01044.01,FALSE POSITIVE,0.0000
6066403,K01045.01,FALSE POSITIVE,0.0000
6209637,K01046.01,FALSE POSITIVE,
5988031,K01047.01,FALSE POSITIVE,0.0000
7684873,K00014.01,FALSE POSITIVE,0.0000
8559644,K00139.01,CONFIRMED,1.0000
2851100,K01104.01,FALSE POSITIVE,0.0000
3130300,K01105.01,FALSE POSITIVE,0.0000
3240158,K01106.01,CONFIRMED,1.0000
3240158,K01106.02,CONFIRMED,0.9890
3228959,K01107.01,FALSE POSITIVE,0.0000
3218908,K01108.01,CONFIRMED,1.0000
10341913,K01172.01,FALSE POSITIVE,0.0000
10480921,K01173.01,FALSE POSITIVE,0.0000
10287723,K01174.01,CANDIDATE,
10350571,K01175.01,CONFIRMED,0.9940
10350571,K01175.02,CONFIRMED,0.9970
3749365,K01176.01,CONFIRMED,0.9980
11013201,K00972.01,CANDIDATE,0.6320
11673674,K00133.01,FALSE POSITIVE,0.0000
11013201,K00972.02,CANDIDATE,0.0000
9414417,K00974.01,CANDIDATE,0.9990
3632418,K00975.01,CONFIRMED,1.0000
3441784,K00976.01,FALSE POSITIVE,0.0000
5820218,K01048.01,FALSE POSITIVE,0.0000
5876368,K01049.01,FALSE POSITIVE,0.0000
5809890,K01050.01,CONFIRMED,1.0000
5809890,K01050.02,CONFIRMED,1.0000
6131236,K01051.01,CONFIRMED,1.0000
9048161,K00146.01,FALSE POSITIVE,0.0000
3218908,K01108.02,CONFIRMED,0.9930
3218908,K01108.03,CONFIRMED,1.0000
3235672,K01109.01,FALSE POSITIVE,
2837111,K01110.01,CONFIRMED,0.9950
3120276,K01111.01,FALSE POSITIVE,0.0000
2307199,K00151.01,CANDIDATE,0.7520
3547091,K01177.01,FALSE POSITIVE,0.0000
3869825,K01178.01,FALSE POSITIVE,0.0000
3655332,K01179.01,FALSE POSITIVE,0.0000
4042026,K01180.01,FALSE POSITIVE,0.0000
3344419,K01181.01,FALSE POSITIVE,0.0000
11192141,K00977.01,FALSE POSITIVE,1.0000
11494130,K00978.01,FALSE POSITIVE,0.0000
5648449,K00979.01,FALSE POSITIVE,0.0000
12167361,K00980.01,FALSE POSITIVE,0.0000
8607720,K00981.01,FALSE POSITIVE,
1433962,K00982.01,FALSE POSITIVE,0.0000
9032900,K00134.01,CONFIRMED,0.0000
5956342,K01052.01,CONFIRMED,1.0000
5956342,K01052.02,CONFIRMED,0.9450
5956342,K01052.03,CONFIRMED,0.7650
5956342,K01052.04,CONFIRMED,0.8150
5956656,K01053.01,CONFIRMED,0.9990
3109930,K01112.01,CONFIRMED,0.9310
2854914,K01113.01,CONFIRMED,1.0000
2854914,K01113.02,CONFIRMED,0.9120
3337425,K01114.01,FALSE POSITIVE,0.0000
3116412,K01115.01,CONFIRMED,0.9890
3865567,K01182.01,FALSE POSITIVE,0.0000
3544689,K01183.01,FALSE POSITIVE,0.0000
4037164,K01184.01,FALSE POSITIVE,0.0000
3443790,K01185.01,FALSE POSITIVE,0.0000
3966912,K01186.01,FALSE POSITIVE,0.0000
8394721,K00152.01,CONFIRMED,0.9940
11607193,K00983.01,FALSE POSITIVE,
1161345,K00984.01,CONFIRMED,0.7110
10227501,K00985.01,FALSE POSITIVE,0.0000
2854698,K00986.01,CONFIRMED,1.0000
2854698,K00986.02,CONFIRMED,0.8810
8559644,K00139.02,CONFIRMED,1.0000
6032981,K01054.01,FALSE POSITIVE,
5866099,K01055.01,FALSE POSITIVE,0.0000
5964985,K01056.01,FALSE POSITIVE,
6066416,K01057.01,FALSE POSITIVE,0.0000
1996679,K00147.01,FALSE POSITIVE,0.0000
2849805,K01116.01,CONFIRMED,1.0000
3114811,K01117.01,CONFIRMED,1.0000
2853446,K01118.01,CANDIDATE,1.0000
3003992,K01119.01,FALSE POSITIVE,0.0000
3942446,K01193.01,CANDIDATE,1.0000
3554031,K01194.01,CONFIRMED,1.0000
3554031,K01194.02,CANDIDATE,0.0000
3554031,K01194.03,CONFIRMED,0.9990
8394721,K00152.02,CONFIRMED,1.0000
7295235,K00987.01,CONFIRMED,1.0000
2302548,K00988.01,CONFIRMED,1.0000
2302548,K00988.02,CONFIRMED,1.0000
10743597,K00989.01,FALSE POSITIVE,
10743597,K00989.02,FALSE POSITIVE,0.0000
9818381,K00135.01,CONFIRMED,1.0000
6124941,K01058.01,FALSE POSITIVE,1.0000
6060203,K01059.01,CONFIRMED,1.0000
5880320,K01060.01,CONFIRMED,1.0000
5880320,K01060.02,CONFIRMED,0.7580
5880320,K01060.03,CONFIRMED,1.0000
3003992,K01119.02,FALSE POSITIVE,0.0000
6307537,K01120.01,FALSE POSITIVE,0.0000
6359798,K01121.01,FALSE POSITIVE,0.0000
6311681,K01122.01,FALSE POSITIVE,0.0000
6365321,K01123.01,FALSE POSITIVE,0.0010
6301035,K01124.01,FALSE POSITIVE,0.0000
3859079,K01199.01,CONFIRMED,1.0000
3557493,K01200.01,FALSE POSITIVE,
4061149,K01201.01,CONFIRMED,1.0000
3444588,K01202.01,CONFIRMED,0.9900
8394721,K00152.03,CONFIRMED,1.0000
3962243,K01203.01,CONFIRMED,0.9990
10743597,K00989.03,CANDIDATE,
10015516,K00990.01,FALSE POSITIVE,
10154388,K00991.01,CONFIRMED,0.9990
1432789,K00992.01,CONFIRMED,0.8480
1718189,K00993.01,CONFIRMED,1.0000
5880320,K01060.04,CONFIRMED,0.8840
5130369,K00140.01,FALSE POSITIVE,0.0000
6037187,K01061.01,CONFIRMED,1.0000
6147122,K01062.01,FALSE POSITIVE,0.0000
8257407,K01063.01,FALSE POSITIVE,0.0000
8218274,K01064.01,FALSE POSITIVE,0.5570
3964562,K00015.01,FALSE POSITIVE,0.0000
5735762,K00148.01,CONFIRMED,1.0000
6292162,K01125.01,FALSE POSITIVE,0.0000
6307521,K01126.01,FALSE POSITIVE,0.0000
6359320,K01127.01,CONFIRMED,1.0000
3848972,K01187.01,FALSE POSITIVE,0.0000
3860441,K01188.01,FALSE POSITIVE,0.0000
3765771,K01189.01,FALSE POSITIVE,0.0000
3557341,K01190.01,FALSE POSITIVE,0.0000
3859628,K01191.01,CONFIRMED,1.0000
3644071,K01192.01,CANDIDATE,
1718189,K00993.02,CONFIRMED,1.0000
1431122,K00994.01,CANDIDATE,0.9900
3858949,K00995.01,FALSE POSITIVE,0.0000
3858824,K00996.01,FALSE POSITIVE,0.0000
2157247,K00997.01,FALSE POSITIVE,
7601633,K00136.01,FALSE POSITIVE,0.0000
8242681,K01065.01,FALSE POSITIVE,0.0080
8260218,K01066.01,CANDIDATE,1.0000
